Gene.symbol	ID	adj.P.Val	logFC
GMNN	8117225	1.00377502843192e-13	1.8464840326678
ELANE	8024056	1.00908853035318e-13	2.46212724019615
CHEK1	7945014	1.01723158585701e-13	2.94682724253968
MCM2	8082350	1.13314461225396e-13	1.9862173143288
E2F8	7947110	1.26207601314168e-13	1.90107723190249
SLC22A16	8128850	1.26207601314168e-13	2.55296814786622
LOC81691	7993776	1.59290248812115e-13	2.34238707287642
CDKN2C	7901363	1.80784040280162e-13	1.44171884853061
AZU1	8024038	1.96876862587312e-13	2.40197318979705
KIAA0101	7989657	1.97653532520974e-13	1.88401066591383
CCNE2	8151871	2.25919128778545e-13	2.36987354354762
HLA-F///HLA-B	8179019	3.04684848391623e-13	-2.70225779257937
KIF4A	8168146	3.04684848391623e-13	2.26831879373243
CCNB2	7983969	3.10727444878534e-13	2.76990424326417
CDK1	7927710	3.48334973882433e-13	2.22380094475624
CCNA1	7968637	3.48334973882433e-13	2.31671020398073
CCNA2	8102643	3.95749191747638e-13	2.29715325647279
MYB///MYB	8122202	3.98123742160146e-13	3.59896533199546
BAHCC1	8010590	4.110992949942e-13	1.73834147832313
HIST2H3D///HIST2H3A///HIST2H3C	7919614	4.13972896909132e-13	2.33229368478231
CCDC169-SOHLH2///CCDC169	7970989	4.13972896909132e-13	2.15551673603742
DLGAP5	7979307	4.13972896909132e-13	2.7354726752449
UHRF1	8024900	4.7455075970243e-13	1.98998455168708
ERG	8070297	5.58321156278411e-13	3.71863879951814
MKI67	7937020	5.90248240096241e-13	2.77092991224377
P2RY1	8083447	6.72719865524638e-13	1.45152471845125
RAB11FIP4	8006298	8.05104618548203e-13	-1.99885479313605
ANKRD44	8057990	8.8252348421425e-13	-1.99129396085374
RFX8	8054344	9.26109195803351e-13	1.79313764221089
SPAG5	8013671	9.35393104481557e-13	2.00879504296032
B4GALT6	8022747	9.75922308769482e-13	2.8667426837619
NFIX	8026139	9.75922308769482e-13	1.77364145945918
SMC4	8083709	1.10014712215241e-12	1.59853086266894
EPDR1	8132369	1.21528035363931e-12	2.39016296317574
GRK5	7930894	1.21528035363931e-12	-2.29230350931859
COL24A1	7917370	1.25719584098025e-12	2.23241663100454
ZWINT	7933707	1.31006101050756e-12	1.65462662741723
MINK1	8003991	1.38392421550637e-12	-1.40734130251134
FAM46A	8127778	1.38392421550637e-12	2.07278087629479
PRSS57	8032088	1.60379507404585e-12	2.36865737568594
FADS2	7940565	1.61443225949935e-12	3.0180668554127
RAD51	7982792	1.70471614394309e-12	1.84846904998753
CENPU	8103932	1.78027997515629e-12	2.13654467118594
CDCA5	7949364	1.8819358761806e-12	1.34154195079025
SCML2	8171561	2.10371832289645e-12	2.73607206330612
TFPI	8057599	2.1995674849034e-12	3.73332428403402
HMMR	8109712	2.52955584761981e-12	1.78650653243197
TMEM2	8161701	2.70935676156109e-12	-1.90829679764626
KIF15	8079237	2.74153106304934e-12	1.96828328974604
	8172270	2.76352191135286e-12	3.72489085148073
TICRR	7985873	3.26278655935929e-12	1.84931753459524
WT1	7947363	3.6363105043247e-12	1.93883133012358
CDCA4	7981525	3.67479088263843e-12	1.39988151452268
SLC44A2	8025672	3.7643245893783e-12	-2.631501501839
TBC1D25	8167314	3.93829241240984e-12	-1.14441733064512
STAR	8150253	4.23634728575432e-12	1.67213218717574
C11orf74	7939411	4.93271534066476e-12	1.78000408065533
PLK4	8097356	5.33130307070624e-12	2.43962155542631
ZBP1	8067221	6.57681177644866e-12	-2.24400833257823
CDC6	8007071	6.66543977391957e-12	2.43377175435601
HLA-F///HLA-B	8117760	6.66543977391957e-12	-3.5597800243424
SLC7A5	8003298	7.77201275007329e-12	1.79378445240249
HJURP	8059838	8.02580994227645e-12	1.78662754098526
TAP1	8180061	8.02580994227645e-12	-1.80516211883787
TRIP13	8104234	8.56974295761738e-12	1.95396211606916
TFRC	8093053	8.56974295761738e-12	2.24290492955896
ZNF211	8031792	8.86974926597259e-12	-1.29527315306803
RCC1///SNHG3///RCC1	7899462	9.23926845831549e-12	1.50094661580272
ZBTB38	8083092	9.24908948944124e-12	-1.98596424552608
ESPL1	7955736	9.30586064639895e-12	1.41250390977325
PIWIL4	7943240	9.34823977237463e-12	2.49464297530159
DNAJB9	8135480	9.34823977237463e-12	-1.56944859845124
BRCA2	7968484	1.06048122643637e-11	1.97647687273923
CHAF1A	8024843	1.10341530276087e-11	1.34234274213152
CCZ1B///CCZ1	8131356	1.12067670300182e-11	-1.63176257154535
GTSE1	8073858	1.12067670300182e-11	1.40884696901021
GRIK5	8037103	1.1982120827524e-11	1.75391534944105
CDKN1B	7954029	1.25159661398227e-11	-1.35645694117687
EMP1	7954090	1.39661988033048e-11	3.85759896180386
HBD	7946041	1.45103573008763e-11	3.08403686212018
ALDOC	8013660	1.45103573008763e-11	-1.62344639076757
LIMD2	8017393	1.45103573008763e-11	-1.10783981629025
HIST1H1B	8124527	1.51415867062398e-11	3.65320296992631
BTN3A1	8117458	1.87319477889723e-11	-2.01173447436734
CDCA2	8145418	1.93207287934375e-11	2.01385233865873
WT1-AS	7939131	1.94490665036092e-11	1.58125443329479
KIF4B///KIF4A	8109484	1.94539737283404e-11	1.29674081636168
GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8N///GOLGA8IP///ULK4P1///CHRFAM7A	7987114	2.02611685823125e-11	1.69962692539569
VAT1	8015759	2.15084431858502e-11	1.11949826395125
MAMDC2	8155754	2.19372919865054e-11	4.03101040741497
FAM234A	7991779	2.31716952698133e-11	0.815924609741498
TIE1	7900658	2.43548278573891e-11	1.68926053299887
CENPW	8121911	2.84566110845486e-11	1.67478788504762
AUNIP	7913852	2.89933879002224e-11	1.29248839194785
B3GALNT1	8091780	2.89933879002224e-11	1.96752023587528
DSCC1	8152582	2.94605579419997e-11	1.54633170797619
CEP85L	8129193	2.96033894351251e-11	-2.09348870784807
NCAPH	8043602	3.04019746305355e-11	1.93840420835828
XRCC2	8144036	3.49389507715755e-11	2.23132431801814
HDGF	7921133	3.49389507715755e-11	1.04214101432313
ERLIN1	7935692	3.4968360460733e-11	2.14276105773923
TEC	8100231	4.04365697277822e-11	2.43482497904989
MNS1	7989146	4.17917961656475e-11	1.94453583457256
HMGB3	8170468	4.20972038807013e-11	1.77049704193084
CKAP2L	8054702	4.67352464242652e-11	1.89476618703969
TTC9	7975412	4.69415746438469e-11	-1.47383076726984
SLC27A2	7983650	4.89343994423737e-11	2.87837900868934
DNAJC12	7933933	5.24549395391055e-11	1.90480798774603
TRIM62	7914630	5.44604431642994e-11	-1.01089374266327
MAFG	8019796	5.54797432568188e-11	1.83407314553288
IFT122	8082523	6.00998758051044e-11	1.20053715837982
TAGAP	8130539	6.036294661145e-11	-1.93331928934807
CA1	8151592	6.21648849586122e-11	4.08730611956349
DDX58	8160559	6.27764070385618e-11	-2.31890457755782
CCDC150	8047187	6.77731261173709e-11	0.763345556757371
SMIM3	8109326	7.13115640643983e-11	2.36945847277325
KIAA0355	8027604	7.17963673452696e-11	-1.64764240238775
MTHFD1L	8122773	7.44560986239299e-11	1.19899460010091
CCNB1	8105828	7.44560986239299e-11	2.88296874581746
SPC24	8034122	7.46130231999298e-11	1.57152470454649
HACD1	7932420	7.46130231999298e-11	2.43456299142517
ATP8B4	7988644	7.46710473650532e-11	4.94131554926645
TINF2	7978208	7.56308859567965e-11	-0.979884696379816
GVINP1	7946275	8.11748219117299e-11	-2.67165897819841
DEPDC1	7916898	8.22800661621351e-11	2.08897944087528
METTL25	7957404	8.60804348406294e-11	-1.01310756669615
GINS1	8061471	8.63085731296864e-11	2.30885823746826
PSMD1	8049016	9.55870274703520e-11	1.2597136919093
RAD51AP1	7953218	1.09893544348743e-10	2.23439844010431
ZC3H6	8044450	1.1396232800303e-10	-1.3089759475907
SYNRG	8014551	1.1396232800303e-10	-1.52326725604875
SNORD52	8118322	1.17616240555533e-10	1.88990420896146
BRIP1	8017262	1.25466938252283e-10	2.23355514603628
	7958273	1.25780189927134e-10	-2.82076337907936
HCP5	8118111	1.26165210017292e-10	-2.1242284256712
BTBD3	8060988	1.31576934747991e-10	2.6249937758152
E2F7	7965094	1.40632580943243e-10	1.52067328431633
IQCJ-SCHIP1///SCHIP1	8083677	1.43602793563046e-10	2.98840263598186
NUAK2	7923753	1.57128460961086e-10	-2.79883463635941
FAM65B	8124280	1.58619737215083e-10	-2.5367165647381
SOX4	8117165	1.58619737215083e-10	2.19879889168594
PARP12	8143327	1.61158214890261e-10	-1.65983849209864
CYTL1	8099132	1.72793056514186e-10	2.56250573951587
HDLBP	8060225	1.7319194657285e-10	0.776226100970524
CLU	8149927	1.84679066481631e-10	2.87071390229365
KCTD7	8133167	1.85598992253299e-10	-1.80992584584354
KIFC1	8179564	1.85598992253299e-10	1.77754236941043
MSRB3	7956856	1.88352520821282e-10	3.33957525768254
HIST1H4J///HIST1H4K///HIST1H4J///HIST1H4K	8124521	1.96540935475541e-10	1.79008121320975
CPT1A	7949971	2.04038802263447e-10	1.85151074868481
AKR1C3	7925929	2.04038802263447e-10	3.35897752504989
CDCA7	8046488	2.04708781751793e-10	2.44337689993425
CAPRIN1	7939242	2.11220460083969e-10	0.948071743549887
TEX30	7972674	2.11220460083969e-10	1.66368339228231
RNF220	7900979	2.11220460083969e-10	1.72823520442177
LPAR4	8168517	2.16445991074904e-10	1.88703198399887
AKTIP	8001410	2.26582800099067e-10	-2.53454908048866
MAML2///MAML2	7951133	2.27854633107576e-10	-3.03228845008163
CRISPLD1	8146967	2.35125723201541e-10	2.07744433405329
IGSF10	8091537	2.35707227277083e-10	3.10337514562472
ACTG1	8019183	2.35707227277083e-10	0.636103377653065
ENTPD4	8149793	2.35707227277083e-10	-0.917005286879817
IL16	7985364	2.38707352812059e-10	-1.30454265421088
RPS6KB2	7941900	2.41432668446809e-10	-0.775976395074826
FAH	7985268	2.41432668446809e-10	2.08797664166667
NPR3	8104758	2.46296695037679e-10	3.84670478722336
NOCT	8097461	2.51078808948868e-10	1.66469967612131
C1orf186	7923875	2.57914346730052e-10	2.44328734627891
SHCBP1	8001133	2.59013453352308e-10	2.52342777230726
STMN1	7913869	2.78354048014502e-10	2.78817411842404
GLTSCR1L	8119582	2.78354048014502e-10	-1.32884184800567
NUP93	7995843	2.78354048014502e-10	0.879312534292518
TNFRSF14	7911754	2.78354048014502e-10	-1.24890364181746
MLC1	8076894	2.9584627349469e-10	2.57996738389683
ERBIN	8105681	3.06284342030875e-10	-1.30106296708163
AQP1///AQP1	8132118	3.08339672044332e-10	1.37456685901134
NME4	7991837	3.13158938705286e-10	1.00757558822336
FAM72A///FAM72D///FAM72B	8039928	3.30269971685305e-10	2.37433039602154
S1PR4	8024582	3.63755921883548e-10	-1.84903891764966
GPR155	8056837	3.91666986904178e-10	-2.97689855293424
BMP1	8145055	4.14982490996427e-10	1.32091746861565
FBXO33	7978748	4.2622742699022e-10	-1.32344650877211
TGFBR2	8078350	4.45802429674744e-10	-1.82104541156123
CEP85	7899134	4.57027171720953e-10	1.29500759308164
SLC35E2B	7911591	4.93109607167594e-10	-0.804608371880952
FASN	8019392	4.93109607167594e-10	0.948485873851474
STEAP3	8044793	5.41210135835182e-10	1.45632606607256
RFC3	7968563	5.47523066422489e-10	1.62063597049773
C7orf26	8131427	5.48201290204481e-10	-0.768018273727892
KIAA0368	8163275	5.50230299351329e-10	0.904872194850343
IL18	7951686	5.8975457375877e-10	3.31645985812472
HIST2H2AA4///HIST2H2AB///HIST2H2AC///HIST2H2AA3	7919619	5.95596160495608e-10	1.74974611286281
HIST1H3H///HIST1H2AI	8117583	6.0179412279615e-10	2.26119410765533
HMGXB4	8072645	6.19837608045858e-10	0.906493618472788
ZNF660	8079198	6.77109100760647e-10	2.01668654406236
LOC100130744	8104590	6.83989096331052e-10	-1.15259168088209
HNRNPAB	8110450	6.94949465097026e-10	1.50203541267688
BUB1	8054580	6.94949465097026e-10	2.24992873509978
PTGR1	8163328	6.94949465097026e-10	1.68143568281406
SLC17A9	8064014	7.14924717770573e-10	1.70286403080952
UCK2	7906995	7.14924717770573e-10	2.03679623972789
RRM2	8040223	7.14924717770573e-10	2.11699722487642
CENPJ	7970624	7.42990611837708e-10	1.79805713187075
GGH	8151032	7.48697967449674e-10	2.19094786771996
DNMT3B	8061746	7.48697967449674e-10	1.84456217686395
NPR3	8104746	7.48697967449674e-10	3.95660212524943
ATAD2	8152668	7.91768942137956e-10	1.57632037393197
WDHD1	7979281	7.92372307709767e-10	2.22210068474603
THAP5	8180324	8.26795836258198e-10	-1.79293227160771
MLEC	7959205	8.31339512079926e-10	1.28869866658163
PARPBP	7958031	8.84862271855269e-10	1.58231573730386
MSH5-SAPCD1///MSH5	8118259	9.39772791377332e-10	1.64889663204195
ZBTB8B///ZBTB8A	7899797	9.84455467211257e-10	1.59690331776644
PPP2R5C	7976863	1.0961090284974e-09	-1.78094679972562
CDK6	8140955	1.1009922101567e-09	2.95157788754195
HSPA5	8164165	1.12039364378862e-09	1.11650609820182
PCBD1	7934178	1.1311622693627e-09	1.665978692661
WDR41	8112746	1.14966415640233e-09	1.62073995873923
NT5DC3	7965918	1.2013795426712e-09	1.63980311444218
HIST1H3B	8124388	1.22093655214963e-09	3.20618480107483
NRIP3	7946446	1.22093655214963e-09	1.888527976983
SLC37A3	8143367	1.23452160009118e-09	-2.25432798813038
LOC100131541	7951140	1.24480592060393e-09	-2.07188390227211
	7987025	1.25300460866992e-09	2.78375587689796
PRELID2	8114845	1.26888593280945e-09	2.37150206776191
GINS2	8003204	1.26940885096615e-09	1.95067830166894
RNF167	8004030	1.28111911323292e-09	-0.953371509044215
CDCA3	7960702	1.32410097662055e-09	1.15962826653515
RAB13	7963986	1.37355770511074e-09	2.39548287940476
SLC39A11	8018082	1.39246473972841e-09	1.33794353134468
CAPN11	8119951	1.41581349942917e-09	1.105277305661
B3GALT4	8179555	1.49378135737652e-09	-1.04411296562358
SLC1A3	8104930	1.52927523784069e-09	1.56920237468935
NUSAP1	7982889	1.57427905132721e-09	2.19594652683334
KPNA2	8019737	1.57427905132721e-09	1.97053396128345
CHAF1B	8068478	1.57774548402464e-09	1.60222509036621
HDAC2	8129045	1.57774548402464e-09	0.880996475849208
KIAA1551	7954711	1.64578870585522e-09	-2.35586459494557
GCSHP3///LOC729080///LOC641746///GCSH	7922104	1.88541603619581e-09	1.33816277267007
AKNA	8163569	1.91289211416517e-09	-1.14006338994218
PATL2	7988327	1.95791688307226e-09	-1.80930703638662
CCM2	8132646	1.9594607018227e-09	-1.22191045064059
ZNF788	8025992	2.00470923028077e-09	1.44361279251814
PRTN3	8024048	2.00859009752946e-09	1.72690567733674
FSCN1	8131339	2.07334196854645e-09	1.52166938328798
STIL	7915926	2.18357815292228e-09	1.69696632443538
ERI2	8000013	2.242014724531e-09	1.51276345009751
BSG	8023955	2.29141533179043e-09	1.28914738652494
RACGAP1	7963157	2.52876281759752e-09	1.24879916500227
LOC100996333///ADGRA3	8022338	2.53110755474752e-09	2.8340477885034
CCDC26	8152821	2.53668706744978e-09	1.12955521448186
ARSG	8009443	2.53668706744978e-09	-2.28866524017233
KIAA0922	8097867	2.63376233649282e-09	-1.15085788092404
LOC728392///NLRP1	8011884	2.68118986381327e-09	-1.75707584907256
ADAM19	8115490	2.72783576031924e-09	-2.70379740020295
USP49	8126347	2.72783576031924e-09	0.974204564318595
PACS1	7941537	2.76232434355066e-09	-1.50794426631859
PLK1	7994109	2.76232434355066e-09	1.91021684922676
TROAP	7955195	2.78521514954158e-09	1.26070622407596
BIRC5	8010260	2.78521514954158e-09	1.3871809408254
NREP	8113504	2.88389295848648e-09	3.03882826571655
HIVEP2	8129953	3.08541534001132e-09	-2.51260306338209
CMBL	8110971	3.08541534001132e-09	2.25167983868027
SH3BP5	8085556	3.08541534001132e-09	-1.66509810705669
GNA15	8024572	3.10963314122069e-09	3.12382054370749
KIAA0040	7922474	3.14473314734313e-09	-2.90610416002608
PHF8	8173009	3.14473314734313e-09	-0.632371798552152
CLEC11A	8030721	3.28127561391872e-09	1.55138339979932
GOLIM4	8091954	3.2829468828992e-09	2.78840746111565
SLC4A1	8015991	3.31519550904542e-09	2.92151844780045
ESCO2	8145570	3.42708728930075e-09	2.185992878178
ZHX2	8148149	3.50721767622864e-09	-1.92068477258617
ISG20	7985777	3.58924849929019e-09	-2.03493521070521
ABHD17A	8074842	3.59168258082593e-09	-0.910275649798182
PRUNE1	7905299	3.60517832595299e-09	-1.39801888115079
RAVER2	7902023	3.76877851368923e-09	2.20060073943877
SCARB1	7967544	3.79386579403464e-09	1.50875737345465
LRP12	8152280	3.83334777471659e-09	2.01363546063719
KIAA1524	8089372	3.90397678644764e-09	1.87584421784467
ADGRA3	8099612	4.06260257710739e-09	2.24245628728571
ORC6	7995354	4.16038866409496e-09	1.32120043146599
TEX2	8017582	4.16986557995568e-09	1.33064840572109
SNTB2	7996908	4.32120196715094e-09	-1.86022571342403
LTBP1	8041383	4.38697267212984e-09	2.46006516774943
	7895062	4.41519401705462e-09	1.18955305687869
FANCA	8003503	4.4760500956825e-09	1.16576626980499
GPT2	7995362	4.51183642439612e-09	1.17305075020862
CD37	8030277	4.59308267546126e-09	-1.28341066445578
WHSC1	8093539	4.6012673222431e-09	1.1608345180737
FABP5P3///FABP5	8147049	4.6012673222431e-09	2.18555297079252
	8092968	4.85559749220422e-09	-1.23858599838888
ZNF618	8157381	4.98953021878065e-09	0.910840606757373
TECPR1	8141180	5.14126507645529e-09	-1.00540277742857
EZH2	8143663	5.38073324101584e-09	1.74279002396599
MIR221	8172266	5.39385947744627e-09	2.52216713421089
STARD3	8006877	5.58906397728643e-09	-0.690669309206348
LRP8	7916282	5.68154858413335e-09	1.51025738251474
CCDC88A	8052269	5.72395142895642e-09	2.74652024237416
CCNE1	8027402	5.75655010170183e-09	1.57367175200453
RBSN	8085537	5.84984505967265e-09	-0.805482181081631
HLA-H///HLA-F///HLA-E///HLA-B///HLA-A///HLA-A	8179103	6.06971955635013e-09	-1.05710653972562
VOPP1	8139712	6.23594515577481e-09	-1.19252994490476
CD34	7923978	6.28893022773743e-09	3.78719466711452
GUSB	8139859	6.31243451888544e-09	1.34113647206916
PPP1R2	8092959	6.31243451888544e-09	-1.05858278318028
EZH1	8015685	6.50592172312299e-09	-1.09983766057823
ECE1	7913357	6.5157813715151e-09	-2.28106991356236
EIF5AL1///EIF5A	7934753	6.78578035362916e-09	1.35431553607483
STIP1	7940857	6.789060871976e-09	1.09298259005669
TWSG1	8020090	6.97472077592312e-09	1.79006564266667
PRG2	7948221	7.24719748719095e-09	1.89638459668708
TM7SF3	7961983	7.42971466105606e-09	1.41015124526757
GCSAML	7911199	7.50828763813053e-09	2.80025297073696
KIF24	8160771	7.50828763813053e-09	0.806799482868483
PP13439	8092162	7.64743184036846e-09	1.82921319065079
LRRC59	8016708	7.72119430686287e-09	0.87449731060431
FADS1	7948612	7.75103968068840e-09	2.78004630070521
LINC00324	8012416	8.0639313308877e-09	-1.68114106379365
	7892931	8.16904036918453e-09	-1.43859081495125
POLE2	7978846	8.16904036918453e-09	1.71866472552948
PTH2R	8047910	8.22330378686119e-09	1.73202670646939
APBB3	8114593	8.24162329972874e-09	-0.851075488017004
PTTG1	8109639	8.24162329972874e-09	1.27859597014853
ATP13A3	8092849	8.413064058598e-09	1.18665510316213
ZNF24	8022882	8.61188654563024e-09	-0.838763763081634
MAFG	8019308	8.61188654563024e-09	1.50112516734921
	7987135	8.74838037649007e-09	2.28704996764853
TPM4	8180349	9.39615202729514e-09	1.27049554186394
ZBTB18	7911038	9.41376536410446e-09	-1.62807635476757
FABP5P3///FABP5	7948420	9.70244377096062e-09	2.11857596850227
GATA2	8090469	9.83463335927536e-09	2.0773805972517
PLAU	7928429	1.01353134492972e-08	1.47277311938776
RXFP1	8098060	1.05404246377492e-08	2.17158276776984
CERS4	8025382	1.05890681330567e-08	-1.11870283652267
ITGA9	8078619	1.06653433978972e-08	2.63793711892744
CEP55	7929334	1.07911576035143e-08	1.60427463340023
TTC33	8111788	1.08266752659766e-08	-1.02107086177891
ATP1B1	7907160	1.14091891530717e-08	2.7184391124195
MEIS1	8042356	1.14809998288768e-08	3.84381492650227
TRPC2	7937878	1.1683250859421e-08	1.77405254803968
TOM1L1	8008547	1.1683250859421e-08	2.2119411952551
KDELC1	7972682	1.18477574459612e-08	2.13957726708617
SCML4	8128638	1.22421361649686e-08	-2.14020081445692
HIST2H3D///HIST2H3A///HIST2H3C	7919612	1.24083875928483e-08	2.12569820585375
EIF5AL1///EIF5A	7928630	1.24083875928483e-08	1.64859779235715
	7979820	1.25364920213339e-08	-0.970074139055551
SELENBP1	7919984	1.27450295633883e-08	1.77047268059864
DHFR	8112902	1.28419196447017e-08	1.42818901772336
PRKCZ	7897044	1.33556373920033e-08	-1.19389072036734
GABBR1	8178298	1.36135340926296e-08	-1.77997027335487
TNRC6C	8010188	1.38819150495611e-08	-1.64153678674149
H2AFY	8114225	1.43010464068026e-08	1.44378517851701
MAP7	8129783	1.44190626416733e-08	2.07380500496372
MPDU1	8004521	1.55698879734119e-08	1.42563371304422
RCN1	7939120	1.55841600419151e-08	2.04870853658617
GON4L	7920810	1.58058370266437e-08	-0.859314804987529
TCP1	8130567	1.58270752625025e-08	1.25233957569842
ANKZF1	8048489	1.60513849116862e-08	-0.974920242734692
TUSC2	8087634	1.60903192906996e-08	-0.744456330701813
PFAS	8004804	1.63150025393172e-08	1.03402248146145
RASSF3	7956819	1.63492888863814e-08	-2.32466825160204
TFR2	8141560	1.65871279682854e-08	1.29959887229705
LMNA	7906085	1.65871279682854e-08	1.57332972708277
CNNM3	8043666	1.68338598075198e-08	-0.86753364380839
ISCU	7958414	1.68774513180255e-08	-0.975086078721082
TTC22	7916425	1.69459965641724e-08	-1.17530211699773
SLAIN1	7969533	1.70730882361186e-08	-2.39562579207483
ZNF394	8141305	1.71665300114788e-08	-1.08486049841384
PLEKHA5	7954245	1.71786234684891e-08	2.12466497021769
DMWD	8037679	1.71786234684891e-08	-0.839183994467117
MYO18A///TIAF1	8013860	1.71786234684891e-08	0.76276814349093
MECP2	8175998	1.71786234684891e-08	-1.02691718263832
NLRC5	7995926	1.75256671621918e-08	-1.49382376401814
MIA3	7909898	1.75402997092565e-08	-0.748083708207482
TBC1D10A	8075332	1.77585517105691e-08	-1.24669711735374
KCTD3	7909745	1.78016097564041e-08	2.54505579981406
VAMP2	8012376	1.81227894068775e-08	-1.11006746076984
SEPP1	8111915	1.81832434627349e-08	3.31207688986281
SPTA1	7921367	1.83543976917154e-08	2.25458899526531
TRMO	8162706	1.83543976917154e-08	-1.08516094915419
TCP11L2	7958262	1.83986191164814e-08	-2.09064514736621
NET1	7925954	1.88316272486124e-08	2.20809744878912
HSP90AA1	7981335	1.90330656529278e-08	1.16422577768481
DPP3	7941621	1.90784430855475e-08	1.30370475553515
STIM2	8094501	1.90784430855475e-08	-1.1945423348424
BET1L	7945349	1.91777603918375e-08	-0.920703952558952
TOM1L2	8013159	1.92731822361783e-08	-0.846498451752833
HPGDS	8101780	1.93432838179207e-08	2.94246814301928
GFI1	7917697	1.98753118679792e-08	1.75293543885828
YPEL3	8000791	2.05883362861691e-08	-1.61185730106689
C10orf11	7928534	2.07673693095184e-08	2.51896990687755
TIRAP	7945086	2.09296509805703e-08	-1.32100022000453
ZFAND2A	8137709	2.13610034707881e-08	-0.955378042683671
LUZP1	7913558	2.18122462292695e-08	1.56551068692291
SIN3B	8026610	2.20841751849456e-08	-0.71648159215646
NUCB2	7938687	2.25139608365736e-08	2.06134543418595
PRR11	8008784	2.27921513335776e-08	2.11328645383447
DNAH14	7910030	2.31374414209935e-08	1.35947658248299
TTLL12	8076569	2.37152851316551e-08	0.691007213181409
